class_id,area_ratio,width_ratio,height_ratio,repair_time_range,budget_range
0,0.08,0.15738,0.08505,6-7 hours,"LKR 12,000 - 15,000"
2,0.07683,0.26122,0.16746,6-7 hours,"LKR 12,000 - 15,000"
0,0.08,0.15707,0.19313,5-6 hours,"LKR 9,000 - 12,000"
1,0.02856,0.05348,0.06195,3-4 hours,"LKR 5,000 - 7,000"
0,0.08,0.14462,0.1779,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.26039,0.11187,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.23169,0.1559,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.06609,0.09107,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.21052,0.11204,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.12696,0.08185,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.06234,0.08955,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.20119,0.08077,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.1032,0.08679,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.13456,0.04615,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.10657,0.06075,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.17178,0.13864,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.11549,0.05325,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.09358,0.07831,4-5 hours,"LKR 7,000 - 9,000"
0,0.05277,0.10165,0.05524,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.25898,0.17319,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13367,0.077,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.15208,0.13899,6-7 hours,"LKR 12,000 - 15,000"
1,0.04,0.06093,0.04435,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.24478,0.08475,5-6 hours,"LKR 9,000 - 12,000"
0,0.03614,0.09467,0.03667,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.09175,0.04796,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.11091,0.08239,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.29282,0.22026,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.09619,0.07861,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.1127,0.06989,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.06578,0.04184,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.17535,0.12452,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.19787,0.18481,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.21967,0.15579,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.15956,0.18449,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13755,0.05549,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.14716,0.14237,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.07336,0.05006,5-6 hours,"LKR 9,000 - 12,000"
1,0.02613,0.0698,0.06017,3-4 hours,"LKR 5,000 - 7,000"
0,0.08,0.12629,0.09465,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.34733,0.24477,6-7 hours,"LKR 12,000 - 15,000"
2,0.1,0.24777,0.20003,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.27519,0.09127,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.27114,0.16199,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.11516,0.08059,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.13995,0.04289,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.26056,0.1285,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.12543,0.04721,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.18217,0.13384,5-6 hours,"LKR 9,000 - 12,000"
0,0.03755,0.10285,0.06366,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.22604,0.15982,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13644,0.04109,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.12964,0.19213,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.24848,0.1447,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.07449,0.08087,4-5 hours,"LKR 7,000 - 9,000"
1,0.02728,0.09345,0.04707,3-4 hours,"LKR 5,000 - 7,000"
1,0.04,0.12554,0.09305,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.17655,0.10842,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.21982,0.13421,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.12378,0.15704,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13902,0.04819,4-5 hours,"LKR 7,000 - 9,000"
0,0.0273,0.04797,0.03157,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.06555,0.07114,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.10264,0.05946,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.09722,0.04361,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.16934,0.16756,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.2788,0.19124,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.07022,0.08956,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.06701,0.09622,4-5 hours,"LKR 7,000 - 9,000"
0,0.04737,0.15815,0.08268,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.32361,0.22089,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.17538,0.19707,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.07399,0.07015,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.16989,0.14074,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.14432,0.08736,5-6 hours,"LKR 9,000 - 12,000"
0,0.07434,0.15661,0.08561,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.20433,0.13113,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.31551,0.21004,5-6 hours,"LKR 9,000 - 12,000"
0,0.07861,0.23745,0.09478,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.1927,0.18132,6-7 hours,"LKR 12,000 - 15,000"
0,0.08,0.18014,0.12734,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.08037,0.09045,5-6 hours,"LKR 9,000 - 12,000"
2,0.06628,0.18381,0.12731,6-7 hours,"LKR 12,000 - 15,000"
1,0.04,0.06333,0.04509,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.17595,0.17296,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.16241,0.08251,6-7 hours,"LKR 12,000 - 15,000"
2,0.1,0.19114,0.11821,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.1239,0.05757,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.07025,0.0603,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.27089,0.10888,5-6 hours,"LKR 9,000 - 12,000"
0,0.04256,0.13588,0.10122,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.11249,0.05065,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.1927,0.17588,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.1052,0.08133,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.07973,0.08359,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.23729,0.15392,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.12565,0.16949,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.32533,0.24945,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.18602,0.16347,6-7 hours,"LKR 12,000 - 15,000"
1,0.04,0.09848,0.07854,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.1244,0.05619,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.20276,0.13282,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.23771,0.1998,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.09279,0.09039,4-5 hours,"LKR 7,000 - 9,000"
1,0.03845,0.05969,0.03984,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.14978,0.17632,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.1899,0.16754,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.27306,0.08827,6-7 hours,"LKR 12,000 - 15,000"
0,0.08,0.16351,0.17113,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13251,0.04835,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.26989,0.08627,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.19423,0.19664,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.2561,0.14735,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.20697,0.08981,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.22416,0.14545,6-7 hours,"LKR 12,000 - 15,000"
1,0.04,0.07611,0.05552,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.26073,0.18447,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.20619,0.13974,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.0763,0.0714,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.13321,0.07198,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.08215,0.09901,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.19045,0.15384,6-7 hours,"LKR 12,000 - 15,000"
2,0.1,0.34682,0.20019,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.20956,0.14329,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.31381,0.18112,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.19907,0.17939,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.19206,0.16986,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.11073,0.04758,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.16468,0.15715,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.1297,0.08596,4-5 hours,"LKR 7,000 - 9,000"
1,0.03657,0.06298,0.0611,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.23451,0.1063,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.30079,0.22074,6-7 hours,"LKR 12,000 - 15,000"
2,0.1,0.32455,0.11689,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.08378,0.058,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.26277,0.10224,6-7 hours,"LKR 12,000 - 15,000"
0,0.08,0.25691,0.14257,6-7 hours,"LKR 12,000 - 15,000"
1,0.04,0.13032,0.07431,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.2628,0.13321,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.06834,0.06307,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.11073,0.04426,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.21772,0.11368,5-6 hours,"LKR 9,000 - 12,000"
1,0.01058,0.02673,0.01524,2-3 hours,"LKR 3,000 - 5,000"
0,0.08,0.20119,0.18491,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.09375,0.06466,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.1257,0.04009,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.13832,0.12606,5-6 hours,"LKR 9,000 - 12,000"
0,0.07248,0.12035,0.11106,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.11089,0.0948,4-5 hours,"LKR 7,000 - 9,000"
2,0.05533,0.08429,0.09035,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.22437,0.18147,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.19143,0.17581,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.22423,0.19016,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13121,0.06075,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.18554,0.11735,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.09885,0.04165,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.30124,0.16878,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.27059,0.22401,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.20663,0.0985,5-6 hours,"LKR 9,000 - 12,000"
1,0.03444,0.06953,0.0445,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.21287,0.0967,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.10965,0.05208,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.26551,0.16666,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.20515,0.23156,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.2142,0.12504,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.21236,0.18387,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.13748,0.18248,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13411,0.04115,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.0887,0.08827,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.25346,0.16886,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.10909,0.04532,4-5 hours,"LKR 7,000 - 9,000"
0,0.07433,0.128,0.16444,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.2001,0.17534,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.16496,0.17642,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.22248,0.19748,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.1919,0.1503,5-6 hours,"LKR 9,000 - 12,000"
0,0.0571,0.17747,0.10442,5-6 hours,"LKR 9,000 - 12,000"
0,0.07825,0.13832,0.15215,6-7 hours,"LKR 12,000 - 15,000"
1,0.04,0.06502,0.09036,5-6 hours,"LKR 9,000 - 12,000"
0,0.06543,0.13354,0.14815,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13713,0.04536,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.14671,0.16557,5-6 hours,"LKR 9,000 - 12,000"
2,0.08033,0.22398,0.08613,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.30351,0.16248,5-6 hours,"LKR 9,000 - 12,000"
2,0.09807,0.18942,0.19778,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.22317,0.12742,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.13784,0.1419,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.06995,0.06482,4-5 hours,"LKR 7,000 - 9,000"
0,0.0733,0.25119,0.13036,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.14009,0.08203,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.08785,0.0623,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.18368,0.11635,6-7 hours,"LKR 12,000 - 15,000"
0,0.08,0.12926,0.19493,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.08925,0.05352,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.24978,0.15631,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.0976,0.09341,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.20475,0.10903,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.10373,0.06597,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.2737,0.10363,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.2374,0.18903,6-7 hours,"LKR 12,000 - 15,000"
1,0.04,0.1355,0.09761,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.19947,0.19609,5-6 hours,"LKR 9,000 - 12,000"
0,0.06385,0.09693,0.09804,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.23662,0.09145,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.18365,0.19034,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.26695,0.19411,5-6 hours,"LKR 9,000 - 12,000"
0,0.03653,0.10276,0.0497,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.1572,0.12628,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.20267,0.17105,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.19961,0.10456,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.13104,0.19289,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.24338,0.15856,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.17557,0.21483,6-7 hours,"LKR 12,000 - 15,000"
0,0.05033,0.09869,0.05044,5-6 hours,"LKR 9,000 - 12,000"
2,0.07825,0.18351,0.1138,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.12454,0.09909,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.23349,0.10008,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.12072,0.04615,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.13368,0.08168,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.21712,0.24678,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.09044,0.04978,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.11639,0.08903,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.18585,0.22,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.22763,0.1756,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.08454,0.06118,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.16572,0.13193,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.22744,0.15587,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.18912,0.19764,6-7 hours,"LKR 12,000 - 15,000"
1,0.04,0.09382,0.06079,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.22508,0.19622,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.21585,0.15484,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.17007,0.11253,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.29023,0.20202,5-6 hours,"LKR 9,000 - 12,000"
